name,select
entities.hashtags,FALSE
entities.symbols,FALSE
entities.urls,FALSE
filter_level,FALSE
id_str,FALSE
in_reply_to_screen_name,FALSE
in_reply_to_status_id,FALSE
in_reply_to_status_id_str,FALSE
in_reply_to_user_id,FALSE
in_reply_to_user_id_str,FALSE
is_quote_status,FALSE
lang,FALSE
possibly_sensitive,FALSE
quoted_status.contributors,FALSE
quoted_status.created_at,FALSE
quoted_status.entities.hashtags,FALSE
quoted_status.entities.media,FALSE
quoted_status.entities.symbols,FALSE
quoted_status.entities.urls,FALSE
quoted_status.entities.user_mentions,FALSE
quoted_status.extended_entities.media,FALSE
quoted_status.favorite_count,FALSE
quoted_status.favorited,FALSE
quoted_status.filter_level,FALSE
quoted_status.geo,FALSE
quoted_status.id,FALSE
quoted_status.id_str,FALSE
quoted_status.in_reply_to_screen_name,FALSE
quoted_status.in_reply_to_status_id,FALSE
quoted_status.in_reply_to_status_id_str,FALSE
quoted_status.in_reply_to_user_id,FALSE
quoted_status.in_reply_to_user_id_str,FALSE
quoted_status.is_quote_status,FALSE
quoted_status.lang,FALSE
quoted_status.place,FALSE
quoted_status.source,TRUE
quoted_status.truncated,FALSE
quoted_status.user.contributors_enabled,FALSE
quoted_status.user.created_at,FALSE
quoted_status.user.default_profile,FALSE
quoted_status.user.default_profile_image,FALSE
quoted_status.user.description,FALSE
quoted_status.user.favourites_count,FALSE
quoted_status.user.follow_request_sent,FALSE
quoted_status.user.followers_count,FALSE
quoted_status.user.following,FALSE
quoted_status.user.friends_count,FALSE
quoted_status.user.geo_enabled,FALSE
quoted_status.user.id,FALSE
quoted_status.user.id_str,FALSE
quoted_status.user.is_translator,FALSE
quoted_status.user.lang,FALSE
quoted_status.user.listed_count,FALSE
quoted_status.user.notifications,FALSE
quoted_status.user.profile_background_color,FALSE
quoted_status.user.profile_background_image_url,FALSE
quoted_status.user.profile_background_image_url_https,FALSE
quoted_status.user.profile_background_tile,FALSE
quoted_status.user.profile_banner_url,FALSE
quoted_status.user.profile_image_url,FALSE
quoted_status.user.profile_image_url_https,FALSE
quoted_status.user.profile_link_color,FALSE
quoted_status.user.profile_sidebar_border_color,FALSE
quoted_status.user.profile_sidebar_fill_color,FALSE
quoted_status.user.profile_text_color,FALSE
quoted_status.user.profile_use_background_image,FALSE
quoted_status.user.protected,FALSE
quoted_status.user.statuses_count,FALSE
quoted_status.user.time_zone,FALSE
quoted_status.user.url,FALSE
quoted_status.user.utc_offset,FALSE
quoted_status.user.verified,FALSE
quoted_status_id,FALSE
quoted_status_id_str,FALSE
retweeted_status.contributors,FALSE
retweeted_status.created_at,FALSE
retweeted_status.entities.hashtags,FALSE
retweeted_status.entities.symbols,FALSE
retweeted_status.entities.urls,FALSE
retweeted_status.entities.user_mentions,FALSE
retweeted_status.favorite_count,FALSE
retweeted_status.favorited,FALSE
retweeted_status.filter_level,FALSE
retweeted_status.geo,FALSE
retweeted_status.id,FALSE
retweeted_status.id_str,FALSE
retweeted_status.in_reply_to_screen_name,FALSE
retweeted_status.in_reply_to_status_id,FALSE
retweeted_status.in_reply_to_status_id_str,FALSE
retweeted_status.in_reply_to_user_id,FALSE
retweeted_status.in_reply_to_user_id_str,FALSE
retweeted_status.is_quote_status,FALSE
retweeted_status.lang,FALSE
retweeted_status.place,FALSE
retweeted_status.possibly_sensitive,FALSE
retweeted_status.quoted_status.contributors,FALSE
retweeted_status.quoted_status.coordinates,FALSE
retweeted_status.quoted_status.created_at,FALSE
retweeted_status.quoted_status.entities.hashtags,FALSE
retweeted_status.quoted_status.entities.media,FALSE
retweeted_status.quoted_status.entities.symbols,FALSE
retweeted_status.quoted_status.entities.urls,FALSE
retweeted_status.quoted_status.entities.user_mentions,FALSE
retweeted_status.quoted_status.extended_entities.media,FALSE
retweeted_status.quoted_status.favorite_count,FALSE
retweeted_status.quoted_status.favorited,FALSE
retweeted_status.quoted_status.filter_level,FALSE
retweeted_status.quoted_status.geo,FALSE
retweeted_status.quoted_status.id,FALSE
retweeted_status.quoted_status.id_str,FALSE
retweeted_status.quoted_status.in_reply_to_screen_name,FALSE
retweeted_status.quoted_status.in_reply_to_status_id,FALSE
retweeted_status.quoted_status.in_reply_to_status_id_str,FALSE
retweeted_status.quoted_status.in_reply_to_user_id,FALSE
retweeted_status.quoted_status.in_reply_to_user_id_str,FALSE
retweeted_status.quoted_status.is_quote_status,FALSE
retweeted_status.quoted_status.lang,FALSE
retweeted_status.quoted_status.place,FALSE
retweeted_status.quoted_status.possibly_sensitive,FALSE
retweeted_status.quoted_status.retweet_count,FALSE
retweeted_status.quoted_status.retweeted,FALSE
retweeted_status.quoted_status.source,FALSE
retweeted_status.quoted_status.text,FALSE
retweeted_status.quoted_status.truncated,FALSE
retweeted_status.quoted_status.user.contributors_enabled,FALSE
retweeted_status.quoted_status.user.created_at,FALSE
retweeted_status.quoted_status.user.default_profile,FALSE
retweeted_status.quoted_status.user.default_profile_image,FALSE
retweeted_status.quoted_status.user.description,FALSE
retweeted_status.quoted_status.user.favourites_count,FALSE
retweeted_status.quoted_status.user.follow_request_sent,FALSE
retweeted_status.quoted_status.user.followers_count,FALSE
retweeted_status.quoted_status.user.following,FALSE
retweeted_status.quoted_status.user.friends_count,FALSE
retweeted_status.quoted_status.user.geo_enabled,FALSE
retweeted_status.quoted_status.user.id,FALSE
retweeted_status.quoted_status.user.id_str,FALSE
retweeted_status.quoted_status.user.is_translator,FALSE
retweeted_status.quoted_status.user.lang,FALSE
retweeted_status.quoted_status.user.listed_count,FALSE
retweeted_status.quoted_status.user.location,FALSE
retweeted_status.quoted_status.user.name,FALSE
retweeted_status.quoted_status.user.notifications,FALSE
retweeted_status.quoted_status.user.profile_background_color,FALSE
retweeted_status.quoted_status.user.profile_background_image_url,FALSE
retweeted_status.quoted_status.user.profile_background_image_url_https,FALSE
retweeted_status.quoted_status.user.profile_background_tile,FALSE
retweeted_status.quoted_status.user.profile_banner_url,FALSE
retweeted_status.quoted_status.user.profile_image_url,FALSE
retweeted_status.quoted_status.user.profile_image_url_https,FALSE
retweeted_status.quoted_status.user.profile_link_color,FALSE
retweeted_status.quoted_status.user.profile_sidebar_border_color,FALSE
retweeted_status.quoted_status.user.profile_sidebar_fill_color,FALSE
retweeted_status.quoted_status.user.profile_text_color,FALSE
retweeted_status.quoted_status.user.profile_use_background_image,FALSE
retweeted_status.quoted_status.user.protected,FALSE
retweeted_status.quoted_status.user.screen_name,FALSE
retweeted_status.quoted_status.user.statuses_count,FALSE
retweeted_status.quoted_status.user.time_zone,FALSE
retweeted_status.quoted_status.user.url,FALSE
retweeted_status.quoted_status.user.utc_offset,FALSE
retweeted_status.quoted_status.user.verified,FALSE
retweeted_status.quoted_status_id,FALSE
retweeted_status.quoted_status_id_str,FALSE
retweeted_status.truncated,FALSE
retweeted_status.user.contributors_enabled,FALSE
retweeted_status.user.created_at,FALSE
